study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S102,S102__modeling-professional-influence-and-hiring-outcomes-using-multimodal-generative-ai-and-knowl.json,e9f2d2111514afa162e222438f05594cb6af0204e262d51ad7e9f5bb142871bb,6865,S102__modeling-professional-influence-and-hiring-outcomes-using-multimodal-generative-ai-and-knowl.json,d7ecc1cc1508b8b195363abee24876c165b619575306f700652b5d3310352f9e,6058,Venkateshappa - 2023 - Modeling professional influence and hiring outcomes using multimodal generative AI and knowledge-gra.pdf,c1c2d466bc8e0dd60f85015439d88b3929c4d5a83402e5aa5ef1aa7ffe03abe1,10
S103,S103__ontologyrag-better-and-faster-biomedical-code-mapping-with-retrieval-augmented-generation-ra.json,df6c46c729679b8268319d49628cf2dcf4e9f18a757f8a14dd171c5e09bbb371,6559,S103__ontologyrag-better-and-faster-biomedical-code-mapping-with-retrieval-augmented-generation-ra.json,3b5a7751c47812bb25607dd1f1331f1d812b0daa18b4c13454decdbf64567fd8,6093,Feng et al. - 2025 - OntologyRAG better and faster biomedical code mapping with retrieval-augmented generation (RAG) lev.pdf,1abc00a50b231ea2bde1ba18e229333f89cecaf354eab97c9cd766e4fd01635f,14
S104,S104__ontosage-intelligent-human-building-smartbot-for-semantic-smart-building-question-answering.json,11636b89777f112d20e9be17c52ed8d1c8bb0ade07f1d3d2bfd84dd6a6badd06,6936,S104__ontosage-intelligent-human-building-smartbot-for-semantic-smart-building-question-answering.json,f90902d47a50268a89257cbdc57b594e86556222d97422e57a0cd0ed178ab3ce,6101,Devmane et al. - 2026 - OntoSage intelligent human-building smartbot for semantic smart building question answering.pdf,4330b214cde1ec8dd189bc93214f0e7ac4bf4fde123a258b6dff3c86c7afe493,38
S105,S105__pkr-qa-a-benchmark-for-procedural-knowledge-reasoning-with-knowledge-module-learning.json,9f9a64f97584a53c1938e8c6dea9e9c51755b1a3b259e1dce2cd76d0e662f6f2,5865,S105__pkr-qa-a-benchmark-for-procedural-knowledge-reasoning-with-knowledge-module-learning.json,b8b5008f9ce2b15726e6f4d68675058c17d9dbb23d2c4b9bbea3d8ee144fdcee,5071,Nguyen et al. - 2026 - PKR-QA a benchmark for procedural knowledge reasoning with knowledge module learning.pdf,b71f76108d752e799f181bc614d950a43f7237ae5e386fc666a51bb92ccb8d8f,9
S106,S106__psychological-counseling-with-integration-of-knowledge-graph-and-multi-agent-collaboration.json,1254c8d1a7d89a51dbcfaef0625465a92e2050b0b2435da3413f87a1796dd052,6801,S106__psychological-counseling-with-integration-of-knowledge-graph-and-multi-agent-collaboration.json,f8efcb07df561e290519917bfbb0d60396447015f45647a822dcc20752f86937,6079,Liu et al. - 2024 - Psychological counseling with integration of knowledge graph and multi-agent collaboration.pdf,aba5237fc8d5de9a70ce672e30d350cba6bc03649c1574511891ee633630c475,13
S107,S107__reads-kg-an-llm-knowledge-graph-framework-for-reasoned-decision-support-in-dynamic-safety-cr.json,6e6ecc839afbb85faac6cafcb72664c122f8fb0738f3ea1158307a512d5c4b02,7560,S107__reads-kg-an-llm-knowledge-graph-framework-for-reasoned-decision-support-in-dynamic-safety-cr.json,05fd8a7d8a30948323b3284f07ad555d408febbe51403bdb18ebc75536dd034c,6985,Doumanas and Kotis - 2026 - ReaDS-KG an LLM-knowledge graph framework for reasoned decision support in dynamic safety-critical.pdf,1462b4ad429fa22d248e99c72af2d8c23f7168a4d5ecb076f2d3040f91aa845b,13
S108,S108__sara-leveraging-llm-agents-and-jurisprudential-ontologies-for-automated-legal-reasoning.json,7a62d06990f20352d8186f71abbdaa5b41fe6ef5270a713da11b54c6cf00b4e2,5316,S108__sara-leveraging-llm-agents-and-jurisprudential-ontologies-for-automated-legal-reasoning.json,e80d5e8dec009d43a430cfe3c467bc3933391df9473c9a15f8fce51a4d0ba599,4551,Bonfim et al. - 2026 - SARA leveraging LLM agents and jurisprudential ontologies for automated legal reasoning.pdf,af8035bdf577f3688ff58274b5392a7c48859abb872ff1ff496c506060c78467,9
S109,S109__semantically-linked-ontological-knowledge-extraction-graph-for-domain-specific-knowledge-dis.json,6fd350c86f0af62e351686023d46a27a267b4cb8fa7403612f26380a42b578ce,6717,S109__semantically-linked-ontological-knowledge-extraction-graph-for-domain-specific-knowledge-dis.json,eb391de2f9211505a57e07d2a1464e44fa05eba15d81ba39cdd96d26388def1a,6768,Kashgouli et al. - 2025 - Semantically-linked ontological knowledge extraction graph for domain-specific knowledge discovery I.pdf,525ade84e378d87e71cb61604670d007a953159ff9fb62d0a3b5dedc378e44f8,20
S110,S110__stitching-history-into-semantics-llm-supported-knowledge-graph-engineering-for-19th-century-.json,09c0fa271dbe3200a43112c384e2cf3d939692e381110c41f350842ae505c578,7011,S110__stitching-history-into-semantics-llm-supported-knowledge-graph-engineering-for-19th-century-.json,e9c010d5cf8bcb2c5e86e8d58e0ce5f2e041199059fd64a69f1b3f7dbd0e9278,6406,Doumanas et al. - 2025 - Stitching history into semantics LLM-supported knowledge graph engineering for 19th-century greek b.pdf,d660776d24a5743638619fc99eb3b87f4d6c4e0cec1ca4d17e9aa5e9c17d4b99,24
S111,S111__toward-auditable-urban-soil-management-a-knowledge-graph-and-llm-approach-fusing-environment.json,03e9ba26dcd59f62fb511ba04e4bc3b0334ea66d29c7de00480e879b4fe054dd,7749,S111__toward-auditable-urban-soil-management-a-knowledge-graph-and-llm-approach-fusing-environment.json,aebb08e9737be75b263617a0ed8f4395798e34c888e81050e769527b36f24f0c,7978,Qin et al. - 2026 - Toward auditable urban soil management a knowledge graph and LLM approach fusing environmental and.pdf,ad87b7011e92820a51c4211f6708798e92f45e14c33da9bb286944fc98cd60f2,17
S112,S112__vaxkg-integrating-the-vaccine-ontology-and-violin-for-advanced-vaccine-queries-and-llm-power.json,1e7e6742c64ce4f3b035a69a644602db84649b01ce565703414bc55d5a4eb8c8,6680,S112__vaxkg-integrating-the-vaccine-ontology-and-violin-for-advanced-vaccine-queries-and-llm-power.json,7d527e5d1f0be87f574005e861e6fa48f0fe6a7daba836ec50aa8db49e8cc75e,5910,(Leo) Yeh et al. - 2025 - VaxKG integrating the vaccine ontology and VIOLIN for advanced vaccine queries and LLM-powered chat.pdf,c95cbaddfa29e2bde96d408b3f803ea1439bfd904ce5a44db10406e2bda3ef44,10
S113,S113__wikontic-constructing-wikidata-aligned-ontology-aware-knowledge-graphs-with-large-language-m.json,b44d19ed398458e7229f712c2495696e82a3ab5f55e895ee75d06912cfcc47ef,6122,S113__wikontic-constructing-wikidata-aligned-ontology-aware-knowledge-graphs-with-large-language-m.json,e6d688f1b6569d73ec3dbef2159ebe910cbe65b69da7f0f64d81052ac733b770,5385,"Chepurova et al. - 2026 - Wikontic constructing wikidata-aligned, ontology-aware knowledge graphs with large language models.pdf",28a65d116c8e427cd05677f6480e273160e57a6c138858b80b9e50dbd44eac2a,16
